dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
image,WINDOW,5,0.0770609378814697,0,3374,1070,2247,462,3319.9148148148147,3215.28125,0.07964038848876953,5487,14051256
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.277646780014038,0,325,275,132,127,325.0,275.0,7.159220933914185,625,326
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.444172620773315,0,1575,1525,747,225,1575.0,1525.0,9.604324579238892,1100,2626
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,90.11826539039612,0,7825,4650,3885,225,7825.0,4650.0,11.654253005981445,1675,68406
polish_bankruptcy_4year,1,2,0.7961947917938232,0,32641,1139,12510,454,32641.0,1243.75,1.3232042789459229,65026,32897
polish_bankruptcy_4year,1,3,1.0262563228607178,0,40957,3697,20826,593,42007.16847826087,7251.458333333333,0.88216233253479,67643,2796417
polish_bankruptcy_4year,1,5,3.474005699157715,0,73022,29616,52891,681,62774.30842391304,77718.97916666667,0.9094946384429932,70286,8987138113
lung,3,2,0.0458321571350097,0,2711,774,1054,235,2711.0,927.5806451612904,0.13064932823181152,11160,12091
lung,3,3,0.1301496028900146,0,8142,2999,4280,358,9791.0,5170.741935483871,0.16519427299499512,14404,620776
lung,3,5,0.522611141204834,0,17583,8323,12714,443,39947.10384615385,40413.44516129032,0.1935105323791504,17238,722277712
credit,+,2,0.0276672840118408,0,1387,293,580,266,1387.0,453.9166666666667,0.04120469093322754,3121,1892
credit,+,3,0.0446991920471191,0,2330,443,1364,395,1757.1904761904761,916.8611111111111,0.048087120056152344,3740,37882
credit,+,5,0.048537254333496,0,2496,524,1524,455,2259.3928571428573,2182.898611111111,0.05521893501281738,4192,6508884
lymphography,fibrosis,2,0.0130891799926757,0,410,208,264,150,410.0,203.93617021276594,0.023226022720336914,1567,1771
lymphography,fibrosis,3,0.0237624645233154,0,1077,331,893,245,757.1666666666666,365.74468085106383,0.030403614044189453,2087,34280
lymphography,fibrosis,5,0.0255987644195556,0,1176,415,992,281,700.1666666666666,326.0824468085106,0.03347134590148926,2220,5495792
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.0589666366577148,0,191,151,109,103,191.0,152.0,0.04082489013671875,380,211
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.085517406463623,0,586,251,434,184,601.4791666666666,516.9583333333334,0.05077171325683594,637,1351
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.0856118202209472,0,586,251,434,184,1042.4375,732.2916666666666,0.056242942810058594,788,6196
ring,0,2,0.107358694076538,0,3240,271,1556,365,3240.0,254.375,0.10548567771911621,6400,3241
ring,0,3,0.1339507102966308,0,4380,271,2696,365,4134.545454545455,361.875,0.12599420547485352,7612,85401
ring,0,5,0.1351270675659179,0,4380,271,2696,365,3739.3939393939395,303.125,0.12460494041442871,7637,25706997
mc1,2,2,0.1759309768676757,0,3668,633,1248,331,3668.0,747.5641025641025,0.1503744125366211,8246,4852
mc1,2,3,0.412255048751831,0,9135,5349,6665,607,7637.1091954022995,5208.429487179487,0.16951918601989746,9473,156948
mc1,2,5,18.29918670654297,0,139686,128409,137125,943,95917.47413793104,145477.60897435897,0.19928956031799316,11250,71680092
thyroid_allhyper,goitre.,2,0.0391569137573242,0,1192,380,550,271,1192.0,416.0,0.052178144454956055,3025,2081
thyroid_allhyper,goitre.,3,0.0936200618743896,0,3702,1060,2704,498,2689.2903225806454,2038.2745098039215,0.06101584434509277,3864,43745
thyroid_allhyper,goitre.,5,0.4213948249816894,0,12270,9628,11266,735,23056.28387096774,28189.286274509803,0.08133673667907715,5008,8303633
mammographics,1,2,0.0084273815155029,0,194,117,87,66,194.0,119.80555555555556,0.008515119552612305,419,277
mammographics,1,3,0.0126581192016601,0,430,207,225,133,466.50925925925924,266.0,0.009719371795654297,628,2048
mammographics,1,5,0.0141329765319824,0,489,245,280,165,670.6712962962963,307.51851851851853,0.011272192001342773,689,44552
dresses,1,2,0.0450260639190673,0,2802,613,1058,224,2802.0,636.7805755395683,0.12239551544189453,12630,15226
dresses,1,3,0.1013212203979492,0,6301,1357,3067,297,6253.550420168067,1621.4052757793766,0.15616559982299805,15019,878150
dresses,1,5,0.1330711841583252,0,7424,1676,3839,303,8783.532072829132,3279.7963429256592,0.16429567337036133,15916,1292028185
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.003612995147705,0,4,0,0,0,4.0,0.0,0.0018320083618164062,4,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.0035583972930908,0,4,0,0,0,4.0,0.0,0.001539468765258789,4,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,5,0.0036661624908447,0,4,0,0,0,4.0,0.0,0.0015442371368408203,4,11
thyroid_new_thyroid,2,2,0.0065014362335205,0,125,58,43,31,125.0,60.9375,0.005382061004638672,300,211
thyroid_new_thyroid,2,3,0.0076205730438232,0,176,71,89,44,218.28125,74.375,0.00697636604309082,407,1351
thyroid_new_thyroid,2,5,0.0077672004699707,0,183,77,96,50,227.875,102.5625,0.007300853729248047,429,21700
Balance_UCI_,R,2,0.0079085826873779,0,210,164,75,75,210.0,162.5,0.006987810134887695,400,211
Balance_UCI_,R,3,0.0152144432067871,0,658,164,307,75,698.75,168.125,0.010151386260986328,674,1351
Balance_UCI_,R,5,0.0152633190155029,0,658,164,307,75,665.0,162.5,0.009673357009887695,668,6196
vert2,NO,2,0.009390115737915,0,277,157,128,115,277.0,193.68421052631578,0.008808374404907227,530,301
vert2,NO,3,0.015653371810913,0,686,224,456,157,881.4561403508773,303.43859649122805,0.01429295539855957,824,2325
vert2,NO,5,0.0161943435668945,0,711,238,481,170,774.8793859649123,255.1688596491228,0.012160539627075195,808,55455
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,2,18.09827351570129,0,1225,1078,0,0,1225.0,1078.0,12.66629433631897,2353,1226
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,3,111.6698386669159,0,13230,13083,0,0,13230.0,13083.0,19.857884407043457,4321,19650
