dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
bach, C#d,5,0.1107072830200195,0,2121,1242,2049,623,2514.0220833333333,1532.1074999999998,0.0719001293182373,4091,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,60.0855598449707,0,80200,76400,38263,210,80200.0,76400.0,15.931155443191528,40300,80201
polish_bankruptcy_1year,1,2,1.7016119956970217,0,32387,840,13123,403,32387.0,1031.24,0.48990845680236816,25556,32897
polish_bankruptcy_1year,1,3,0.8250603675842285,0,35827,2147,16563,523,33255.89166666667,4340.4366666666665,0.3642885684967041,26036,2796417
polish_bankruptcy_1year,1,5,0.9852170944213868,0,39780,4534,20516,607,35028.388333333336,23407.010166666667,0.3357272148132324,26395,8987138113
coil2000,1,2,2.074316024780273,0,68915,3992,31820,722,68915.0,6458.35,0.6123685836791992,37550,211576
coil2000,1,3,5.4853129386901855,0,133944,27849,67773,1003,168917.52083333334,109620.51666666666,0.7338998317718506,40751,45771376
robot2,back_col,2,0.0112936496734619,0,353,244,151,133,353.0,240.89,0.040833473205566406,2528,407
robot2,back_col,3,0.0564875602722168,0,1251,352,782,223,1390.8333333333333,362.52666666666664,0.04708123207092285,4098,3683
robot2,back_col,5,0.0592091083526611,0,1297,374,828,235,1506.21375,375.7303333333333,0.0489194393157959,4184,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0236971378326416,0,630,552,269,197,630.0,550.725,0.049352169036865234,3435,631
