dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
thyroid_hypothyroid,hypothyroid,3,0.0676946640014648,0,2522,2438,1257,391,2722.758333333333,2341.6866666666665,0.06863975524902344,4875,6580
thyroid_hypothyroid,hypothyroid,5,2.8101847171783447,0,40172,40085,19675,735,35748.83416666667,35813.577333333335,0.11084580421447754,8167,331212
grammatical_a3,1,2,0.6560366153717041,0,34602,4795,33968,709,34602.0,5049.205,0.44884777069091797,26991,709837
grammatical_a3,1,3,3.267211437225342,0,153257,94326,152622,797,102934.83333333333,83851.68166666667,0.6851654052734375,29519,281569472
crx,positive,2,0.0291483402252197,0,1387,520,572,290,1387.0,575.12,0.07185006141662598,5161,1892
crx,positive,3,0.0786280632019043,0,4393,855,2754,449,4406.141666666666,1307.8866666666668,0.07746577262878418,6672,37882
crx,positive,5,0.0911235809326171,0,4867,1050,3181,532,7094.173333333333,2644.5596666666665,0.09133219718933105,7573,6508884
GermanCredit_UCI_,2,2,0.0546965599060058,0,2776,1728,1352,237,2776.0,1581.75,0.08990716934204102,7375,2851
GermanCredit_UCI_,2,3,0.5348823070526123,0,26233,9756,14909,408,29841.962499999998,10832.983333333334,0.13427329063415527,11681,70376
GermanCredit_UCI_,2,5,6.788941383361816,0,82841,40960,56186,579,188447.53458333333,262448.8871666667,0.1885697841644287,14643,18545216
pc1,2,2,0.055931806564331,0,2850,1315,806,336,2850.0,1310.625,0.0863645076751709,7475,2851
pc1,2,3,0.3104724884033203,0,14552,9204,8461,601,16678.28125,9719.5,0.12721848487854004,10823,70376
pc1,2,5,18.487197160720825,0,129799,103030,96388,983,166568.671875,173473.4875,0.1679227352142334,14222,18545216
mfeat-pixel,8,2,11.114472150802612,0,657733,19497,314267,1092,657733.0,29400.63,1.3935720920562744,116148,1358777
mfeat-pixel,8,3,36.48181104660034,0,1583573,134566,1236228,1898,1913567.55,1057702.61,1.8535339832305908,121631,745969673
hv_noise,0,2,1.3827035427093506,0,80200,20208,26173,476,80200.0,20212.0,0.5280044078826904,40300,80201
hv_noise,0,3,20.99667000770569,0,727002,667009,349573,849,727000.0,667202.0,0.5611660480499268,50103,10667001
image,WINDOW,2,0.0464301109313964,0,1962,615,835,317,1962.0,673.01,0.08578038215637207,6171,2557
image,WINDOW,3,0.11726975440979,0,5335,2022,4133,549,6400.554166666667,2484.65,0.12589812278747559,8066,59712
image,WINDOW,5,0.5122780799865723,0,13995,8908,12791,701,14063.851041666667,15810.847333333333,0.11609315872192383,8637,14051256
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.09779691696167,0,325,275,132,129,325.0,275.0,13.868960857391357,2425,326
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.38408160209656,0,1575,1525,747,311,1575.0,1525.0,21.624650239944458,4325,2626
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,91.42352104187012,0,7825,4650,3885,425,7825.0,4650.0,30.153891801834106,6625,68406
polish_bankruptcy_4year,1,2,0.8169245719909668,0,32641,23462,12510,552,32641.0,26265.0,0.8322229385375977,25656,32897
polish_bankruptcy_4year,1,3,38.24258208274841,0,1279700,419577,763273,915,1916475.28125,877793.725,0.6122293472290039,46134,2796417
lung,3,2,0.0464749336242675,0,2711,1267,1054,238,2711.0,1336.68,0.09154319763183594,7255,12091
lung,3,3,0.2921578884124756,0,15310,7841,4493,368,19019.45,11262.0,0.11789488792419434,10572,620776
lung,3,5,5.89719033241272,0,73773,49409,34345,462,225519.98,248806.962,0.14613103866577148,13323,722277712
credit,+,2,0.0291295051574707,0,1387,470,580,287,1387.0,497.64,0.08400368690490723,5161,1892
credit,+,3,0.0701618194580078,0,3815,772,2393,455,4200.2,1109.0733333333333,0.08164834976196289,6759,37882
credit,+,5,0.08085298538208,0,4248,962,2794,546,5049.804166666667,1572.2633333333333,0.0852653980255127,6985,6508884
lymphography,fibrosis,2,0.0134289264678955,0,410,208,264,151,410.0,218.565,0.03539872169494629,2659,1771
lymphography,fibrosis,3,0.023991584777832,0,1077,608,893,249,1228.15625,571.095,0.049651384353637695,3870,34280
lymphography,fibrosis,5,0.0409040451049804,0,1671,1095,1480,289,1870.525625,1005.45975,0.05860185623168945,4528,5495792
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.059481143951416,0,191,151,109,103,191.0,151.43,0.08101153373718262,1820,211
