dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
australian,1,3,0.0793888568878173,0,3744,1111,2071,449,3603.2166666666667,1062.1333333333332,0.06670594215393066,5141,12384
australian,1,5,0.2394053936004638,0,11894,1794,7678,781,20383.235625,7809.0633333333335,0.06808042526245117,5207,974982
dermatology,4,2,0.0869364738464355,0,4549,808,1380,417,3935.435,617.77,0.08218669891357422,6635,8912
dermatology,4,3,0.4697349071502685,0,27201,4225,10412,942,16607.2975,4055.6,0.10302042961120605,7833,392218
dermatology,4,5,5.480583190917969,0,322683,46271,154375,2338,240353.30246875,57035.340000000004,0.11992669105529785,9008,334251744
Heart_Statlog__UCI_,2,2,0.020566701889038,0,758,474,379,219,750.995,338.35,0.046982765197753906,3842,821
Heart_Statlog__UCI_,2,3,0.0657923221588134,0,3221,785,2044,411,2913.39875,844.96,0.05902981758117676,4863,10701
Heart_Statlog__UCI_,2,5,0.1387305259704589,0,6986,899,5232,535,6714.87540625,1226.133,0.0630197525024414,5019,760099
Census-Income_KDD__UCI_,50000+,2,7.302738428115845,0,46488,933,17229,485,33198.715,772.19,3.1700732707977295,16466,107881
Census-Income_KDD__UCI_,50000+,3,15.416582584381104,0,97641,3230,39750,812,81928.71916666666,4246.033333333333,3.270719289779663,17075,16649945
Census-Income_KDD__UCI_,50000+,5,189.17084741592407,0,1217339,75336,361780,1719,866468.6907447916,61997.86033333333,3.3696937561035156,17741,177318627413
japanese,+,2,0.0340516567230224,0,1483,604,640,266,1437.79,400.88,0.13281750679016113,5163,1892
japanese,+,3,0.103541612625122,0,5151,1054,2636,455,4477.06,869.5733333333334,0.0741734504699707,5904,37882
japanese,+,5,0.2625517845153808,0,13313,1634,8027,773,18202.016916666667,3026.6633333333334,0.07900094985961914,6227,6508884
heart_hungarian,1,2,0.0052025318145751,0,65,52,28,22,64.12,51.16,0.014698982238769531,1114,79
heart_hungarian,1,3,0.0071098804473876,0,145,90,62,39,140.21,81.04,0.020412445068359375,1621,299
heart_hungarian,1,5,0.0073235034942626,0,161,100,73,46,215.23,116.575,0.024630308151245117,1918,794
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,2,0.3049483299255371,0,256,252,182,131,262.04,251.44,0.3746330738067627,2327,326
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,3,0.4413681030273437,0,1311,596,990,275,1456.17,435.84,0.5234096050262451,4114,2626
