dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0139446258544921,0,9,9,0,0,9.0,9.0,0.016352415084838867,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0136795043945312,0,9,9,0,0,9.0,9.0,0.01579880714416504,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013099193572998,0,9,9,0,0,9.0,9.0,0.015656471252441406,306,11
bach, C#d,2,0.0307035446166992,0,609,190,208,171,504.905,163.25,0.04388093948364258,2151,1226
bach, C#d,3,0.1032741069793701,0,3657,700,1195,407,1693.4641666666666,473.1933333333333,0.0583806037902832,2910,19650
bach, C#d,5,0.6258323192596436,0,29473,2859,8564,988,6916.455520833333,1749.0906666666665,0.06673121452331543,3443,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,33.57186579704285,0,76401,76401,38263,210,76401.0,76401.0,16.521857738494873,40302,80201
polish_bankruptcy_1year,1,2,0.7675402164459229,0,32173,1470,13123,403,32172.735,1372.6,0.504673957824707,25558,32897
polish_bankruptcy_1year,1,3,2.5030665397644043,0,114785,4412,65729,642,124643.975,7014.363333333334,0.37729787826538086,26566,2796417
polish_bankruptcy_1year,1,5,23.714529752731323,0,1243073,124189,546864,983,1524536.2875520834,113360.71316666667,0.38038134574890137,27661,8987138113
coil2000,1,2,3.051623821258545,0,131569,10352,38688,722,110862.9,9682.05,0.647770881652832,37552,211576
coil2000,1,3,15.59272837638855,0,645993,85468,209707,1318,1664210.9291666667,240959.18333333335,0.768789529800415,43084,45771376
coil2000,1,5,499.3387734889984,0,19322677,4043617,6981544,3781,145777621.07770833,20520023.215,0.8134148120880127,45250,959528325406
robot2,back_col,2,0.0113430023193359,0,317,287,151,133,330.6,258.92,0.04365706443786621,2530,407
robot2,back_col,3,0.0294139385223388,0,1229,382,735,202,1375.215,391.08666666666664,0.04748058319091797,3696,3683
robot2,back_col,5,0.0524032115936279,0,2461,431,1523,236,2132.1825208333335,401.3935,0.05141782760620117,3823,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0237324237823486,0,553,553,269,197,555.225,555.225,0.05203819274902344,3437,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1132497787475586,0,4722,3935,2441,430,5027.583333333333,3829.5333333333333,0.08876371383666992,6295,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.6813366413116455,0,32602,5596,19168,512,28455.787083333333,5220.316666666667,0.11371588706970215,8168,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0035247802734375,0,9,9,0,0,9.0,9.0,0.006357431411743164,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0037226676940917,0,9,9,0,0,9.0,9.0,0.005919694900512695,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0034029483795166,0,9,9,0,0,9.0,9.0,0.0059359073638916016,306,11
auto6_3,class1,2,0.2216622829437255,0,11864,2467,5586,480,11862.375,2371.725,0.18476319313049316,15557,12091
auto6_3,class1,3,1.7334983348846436,0,96356,2947,61815,624,99119.2375,4300.183333333333,0.2057349681854248,18056,620776
auto6_3,class1,5,2.6654512882232666,0,149901,2994,93045,634,201929.30052083332,5793.414583333333,0.2087855339050293,18268,722277712
grammatical_b1,1,2,4.996332406997681,0,247493,4737,173545,738,204233.6,3140.44,0.6362662315368652,42301,719401
grammatical_b1,1,3,38.20656156539917,0,1950306,42038,1521012,1039,950425.6833333333,24648.9,0.8611299991607666,43603,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0473971366882324,0,1163,1163,567,262,1163.75,1163.75,0.08668398857116699,4952,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3646676540374756,0,15637,11107,8065,552,16144.666666666666,9955.0,0.13578391075134277,9303,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,2.609809875488281,0,120548,16690,70676,666,127804.68385416667,15762.225,0.17111420631408691,11656,2369936
volcanoes-a1,4,2,0.0064845085144042,0,61,42,22,22,57.9625,42.91,0.017104625701904297,1014,79
volcanoes-a1,4,3,0.0081410408020019,0,121,61,41,41,112.6875,62.233333333333334,0.022985219955444336,1475,299
volcanoes-a1,4,5,0.0078697204589843,0,121,61,41,41,112.21083333333334,60.821666666666665,0.0227510929107666,1466,299
vert3,NO,2,0.0098583698272705,0,265,191,128,115,255.9775,180.86,0.028829097747802734,2226,301
vert3,NO,3,0.0251474380493164,0,1137,293,516,177,893.02,228.39333333333335,0.03847694396972656,3150,2325
vert3,NO,5,0.0331668853759765,0,1589,299,724,186,1283.4349375,250.42541666666668,0.04143834114074707,3340,55455
CongressionalVotingRecords_UCI_,republican,2,0.0265040397644042,0,1111,349,490,211,1102.74,223.31,0.05279231071472168,4650,1177
CongressionalVotingRecords_UCI_,republican,3,0.0636467933654785,0,3079,559,1936,348,2557.076666666667,637.2233333333334,0.05943894386291504,5099,18473
CongressionalVotingRecords_UCI_,republican,5,0.1834461688995361,0,9394,1127,7583,653,13303.765463541667,3663.5298333333335,0.06485915184020996,5500,1925357
pitt2_2,WOOD,2,0.0072157382965087,0,161,52,58,27,153.01,57.28,0.01773858070373535,1325,277
pitt2_2,WOOD,3,0.0098376274108886,0,340,77,123,40,336.2875,80.38,0.02318882942199707,1772,2048
pitt2_2,WOOD,5,0.0114808082580566,0,401,79,145,41,383.10525,74.71,0.024825572967529297,1813,44552
statlog_vehicle,opel,2,0.0557320117950439,0,2521,887,1044,302,2521.0,815.32,0.0823674201965332,7174,2629
statlog_vehicle,opel,3,0.2225089073181152,0,11817,1439,5978,492,12824.32,3233.08,0.10358285903930664,8576,62269
