dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
vert3,NO,3,0.0285098552703857,0,1217,320,539,176,1235.1753472222222,296.80555555555554,0.012421846389770508,901,2325
vert3,NO,5,0.0382039546966552,0,1769,341,765,187,1662.5580729166668,351.67013888888886,0.013010978698730469,912,55455
CongressionalVotingRecords_UCI_,republican,2,0.0281183719635009,0,1111,390,490,211,1101.8489583333333,289.8541666666667,0.026808977127075195,2258,1177
CongressionalVotingRecords_UCI_,republican,3,0.0701382160186767,0,3304,729,2109,361,3804.3897569444443,1348.986111111111,0.03354239463806152,2669,18473
CongressionalVotingRecords_UCI_,republican,5,0.2530224323272705,0,12316,1945,10252,685,20609.886414930555,8012.052083333333,0.037606239318847656,2893,1925357
pitt2_2,WOOD,2,0.0072612762451171,0,161,52,58,27,155.32608695652175,46.65217391304348,0.006197214126586914,324,277
pitt2_2,WOOD,3,0.0104341506958007,0,340,77,123,40,336.79347826086956,102.85507246376811,0.007664918899536133,431,2048
pitt2_2,WOOD,5,0.0115628242492675,0,401,79,145,41,377.0751811594203,74.34782608695652,0.007851123809814453,435,44552
statlog_vehicle,opel,2,0.0582132339477539,0,2521,1827,1044,321,2521.0,1745.5,0.061727046966552734,5186,2629
statlog_vehicle,opel,3,0.4965379238128662,0,25501,5125,12393,400,30512.666666666668,9567.5,0.09652829170227051,8002,62269
statlog_vehicle,opel,5,2.151047706604004,0,111329,12051,63563,702,301853.396875,75925.825,0.11334490776062012,9219,15082603
pitt2_1,DECK,2,0.0079391002655029,0,192,72,76,39,184.7608695652174,65.67391304347827,0.007119417190551758,393,277
pitt2_1,DECK,3,0.0123736858367919,0,421,118,169,58,408.5326086956522,85.7536231884058,0.00814509391784668,495,2048
pitt2_1,DECK,5,0.0138871669769287,0,492,125,196,60,534.5362545289855,113.40942028985508,0.008919715881347656,534,44552
grammatical_a8,1,2,6.786149501800537,0,324461,4454,231079,785,278322.54579831933,1575.7605042016808,8.429084300994873,644982,708646
grammatical_a8,1,3,41.63981819152832,0,2050699,67553,1636153,1270,532740.5150560224,11749.267507002802,8.765815019607544,649096,280860826
grammatical_a6,1,2,2.52912974357605,0,117029,7014,83312,699,91515.82734113712,6336.133779264214,3.4963951110839844,227242,715807
grammatical_a6,1,3,52.77215433120728,0,2621152,193420,1980142,1277,1721103.3447603122,195003.8037904125,4.670657396316528,303097,285130587
