dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
breast_tissue_merged,car,5,0.0129809379577636,0,452,164,264,111,579.2589285714286,213.01339285714286,0.016236066818237305,1139,443704
pima,1,2,0.0148932933807373,0,465,413,216,180,465.0,417.5,0.014482736587524414,900,466
pima,1,3,0.0594029426574707,0,3195,955,1630,289,3189.7916666666665,1905.4166666666667,0.0220339298248291,1630,4526
pima,1,5,0.0767028331756591,0,3778,1099,2204,306,9690.177083333334,2947.9166666666665,0.02692413330078125,2049,174437
Divorce,1,2,0.1105706691741943,0,7651,208,7162,432,7651.0,240.61111111111111,0.3680300712585449,32940,36586
Divorce,1,3,0.1143653392791748,0,7882,290,7393,514,7819.476190476191,421.5401234567901,0.39978599548339844,33413,3280726
Divorce,1,5,0.116046667098999,0,7987,394,7498,520,7740.020578231292,380.79814814814813,0.408113956451416,33735,11740092625
asbestos,(3)_Above_legal_limit,2,0.0049612522125244,0,36,18,13,8,36.0,18.666666666666668,0.0031015872955322266,57,37
asbestos,(3)_Above_legal_limit,3,0.0048675537109375,0,39,20,14,9,41.77777777777778,20.666666666666668,0.0027151107788085938,72,93
asbestos,(3)_Above_legal_limit,5,0.0048985481262207,0,39,20,14,9,40.0,20.444444444444446,0.002714872360229492,69,93
bupa,1,2,0.0105605125427246,0,300,246,131,122,300.0,241.26315789473685,0.008771419525146484,553,301
bupa,1,3,0.0272624492645263,0,1340,413,634,171,1371.157894736842,457.6842105263158,0.012775659561157227,953,2325
bupa,1,5,0.0288209915161132,0,1411,424,671,173,1623.8947368421052,462.3157894736842,0.01347661018371582,1002,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0133037567138671,0,325,275,0,0,325.0,275.0,0.010591983795166016,625,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0383486747741699,0,1575,1525,0,0,1575.0,1525.0,0.015739917755126953,1100,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.1319150924682617,0,4700,1525,0,0,4700.0,1525.0,0.019300222396850586,1450,68406
cardio3,2,2,0.0512177944183349,0,2213,704,742,272,2213.0,930.7222222222222,0.057688236236572266,4423,2347
cardio3,2,3,0.1426806449890136,0,6794,2499,4857,448,6767.0,3898.277777777778,0.08302092552185059,6011,52463
cardio3,2,5,0.8413817882537842,0,20057,12919,18073,633,37366.8,54504.83703703704,0.10522055625915527,7767,11290976
volcanoes-d4,3,2,0.0100016593933105,0,78,59,17,17,78.0,60.0,0.006318092346191406,133,79
