dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
mammographics,1,2,0.0084273815155029,0,194,117,87,66,194.0,115.1875,0.024028539657592773,1823,277
mammographics,1,3,0.0126581192016601,0,430,207,225,133,364.2083333333333,195.9375,0.034098148345947266,2585,2048
mammographics,1,5,0.0141329765319824,0,489,245,280,165,339.2391666666667,179.75385416666666,0.03574633598327637,2678,44552
dresses,1,2,0.0450260639190673,0,2802,613,1058,224,2802.0,666.125,0.07292580604553223,7374,15226
dresses,1,3,0.1013212203979492,0,6301,1357,3067,297,5555.113888888889,1549.1208333333334,0.09220123291015625,8666,878150
dresses,1,5,0.1330711841583252,0,7424,1676,3839,303,10091.739444444445,3266.5827083333334,0.10203170776367188,9501,1292028185
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.003612995147705,0,4,0,0,0,4.0,0.0,0.002160310745239258,4,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.0035583972930908,0,4,0,0,0,4.0,0.0,0.0018579959869384766,4,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,5,0.0036661624908447,0,4,0,0,0,4.0,0.0,0.001863241195678711,4,11
thyroid_new_thyroid,2,2,0.0065014362335205,0,125,58,43,31,125.0,54.9375,0.017565011978149414,1420,211
thyroid_new_thyroid,2,3,0.0076205730438232,0,176,71,89,44,183.83333333333334,65.8125,0.022914648056030273,1886,1351
thyroid_new_thyroid,2,5,0.0077672004699707,0,183,77,96,50,199.19166666666666,78.34375,0.024420499801635742,1953,21700
Balance_UCI_,R,2,0.0079085826873779,0,210,164,75,75,210.0,164.75,0.024483919143676758,1920,211
Balance_UCI_,R,3,0.0152144432067871,0,658,164,307,75,701.0,165.125,0.03801536560058594,3275,1351
Balance_UCI_,R,5,0.0152633190155029,0,658,164,307,75,680.0,162.5,0.03760814666748047,3242,6196
vert2,NO,2,0.009390115737915,0,277,157,128,115,277.0,168.7625,0.028146743774414062,2224,301
vert2,NO,3,0.015653371810913,0,686,224,456,157,681.9277777777778,231.38958333333332,0.03893709182739258,3234,2325
vert2,NO,5,0.0161943435668945,0,711,238,481,170,661.0041666666667,207.59416666666667,0.039824724197387695,3261,55455
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,2,18.09827351570129,0,1225,1078,0,0,1225.0,1078.0,19.027209281921387,4849,1226
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,3,111.6698386669159,0,13230,13083,0,0,13230.0,13083.0,27.376805782318115,7703,19650
rmftsa_sleepdata,3,2,0.0503637790679931,0,36,21,7,7,36.0,20.7,0.5341887474060059,708,37
rmftsa_sleepdata,3,3,0.0052490234375,0,36,21,7,7,36.0,21.25,0.010694265365600586,708,37
rmftsa_sleepdata,3,5,0.0061759948730468,0,36,21,7,7,36.0,21.05,0.010478019714355469,708,37
thoracic-surgery,1,2,0.0411090850830078,0,826,478,446,232,826.0,539.75,0.04744434356689453,3946,1082
