dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
statlog_australian,1,3,0.0490403175354003,0,2593,415,1440,372,2571.9324324324325,957.8333333333334,0.04506659507751465,3820,30914
statlog_australian,1,5,0.050713300704956,0,2682,465,1526,414,2548.9783783783782,786.1333333333333,0.046360015869140625,3855,4613030
hiv_schilling,1,2,0.1895725727081298,0,11038,271,3159,310,11038.0,265.0125,0.25084352493286133,23680,12881
hiv_schilling,1,3,0.2010149955749511,0,11162,271,3279,310,11080.285714285714,267.325,0.25916361808776855,23886,682801
hiv_schilling,1,5,0.1944074630737304,0,11162,271,3279,310,11078.171428571428,258.5375,0.2791299819946289,23858,847361193
heart-long-beach,4,2,0.0175473690032959,0,745,399,333,188,745.0,410.3095238095238,0.02105236053466797,1596,904
heart-long-beach,4,3,0.0482985973358154,0,2779,1174,1835,320,4366.227272727273,1754.936507936508,0.030013561248779297,2526,12384
heart-long-beach,4,5,0.1111021041870117,0,4889,2477,3821,400,6230.832575757576,8118.94126984127,0.03489422798156738,2847,974982
datatrieve,2,2,0.0117101669311523,0,408,187,137,86,408.0,170.33333333333334,0.010600566864013672,840,466
datatrieve,2,3,0.0181775093078613,0,822,311,493,168,857.7111111111111,524.3777777777777,0.014068126678466797,1117,4526
datatrieve,2,5,0.0218241214752197,0,986,412,657,238,1684.1466666666668,730.4577777777778,0.016745328903198242,1354,174437
jEdit_4.0_4.2,2,2,0.0117957592010498,0,406,233,181,139,406.0,257.0,0.011046409606933594,784,407
jEdit_4.0_4.2,2,3,0.0233712196350097,0,1129,346,737,234,1499.0,468.5,0.01605057716369629,1199,3683
jEdit_4.0_4.2,2,5,0.0252652168273925,0,1207,392,810,273,1990.7583333333332,802.2583333333333,0.01653766632080078,1277,122438
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.062892198562622,0,325,275,143,134,325.0,275.0,7.02944278717041,625,326
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.33239459991455,0,1575,1525,787,227,1575.0,1525.0,9.47881531715393,1100,2626
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,78.00572991371155,0,6833,5424,3455,234,7585.0,6650.0,11.526949882507324,1663,68406
pitt1_2,WOOD,2,0.0074834823608398,0,144,86,67,27,144.0,85.33333333333333,0.49044322967529297,384,301
pitt1_2,WOOD,3,0.0096082687377929,0,290,232,203,35,299.6666666666667,212.0,0.008279800415039062,553,2325
pitt1_2,WOOD,5,0.0155982971191406,0,571,513,482,35,583.9333333333333,469.4111111111111,0.010410547256469727,744,55455
backache,2,2,0.0549795627593994,0,3412,985,1670,358,3412.0,959.2197802197802,0.07721495628356934,7462,4187
backache,2,3,0.1794688701629638,0,11102,3442,6495,570,8620.154929577464,4609.271062271062,0.09842348098754883,9015,125672
backache,2,5,1.2910103797912598,0,32696,17480,12061,753,50005.09295774648,89471.55164835164,0.11729550361633301,10798,49302800
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9859113693237304,0,39395,10200,17712,410,39395.0,10525.492537313432,1.243342638015747,93800,56281
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.463412523269652,0,397358,12982,209685,410,454629.3703703704,13585.572139303482,1.5835161209106445,117856,6266176
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.848104238510132,0,398059,12982,210350,410,453475.0740740741,14832.756218905473,1.594475269317627,118236,34642576528
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0419244766235352,0,325,275,134,129,325.0,275.0,0.6321041584014893,625,326
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1294291019439697,0,1575,1525,766,208,1575.0,1525.0,0.8014264106750488,1100,2626
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.583576917648315,0,7825,6365,3909,208,7825.0,7775.0,0.9369688034057617,1675,68406
thyroid_hypothyroid,hypothyroid,2,0.0184473991394042,0,412,228,189,167,412.0,220.7058823529412,0.06547117233276367,952,596
thyroid_hypothyroid,hypothyroid,3,0.0469155311584472,0,1572,908,1041,346,1595.2745098039215,897.9215686274509,0.02471184730529785,1396,6580
thyroid_hypothyroid,hypothyroid,5,0.4193315505981445,0,10140,9476,9130,636,8423.32156862745,7202.341176470588,0.029970645904541016,1738,331212
grammatical_a3,1,2,0.4494946002960205,0,22101,1004,21471,604,22101.0,926.4588581024349,3.267148971557617,244155,709837
grammatical_a3,1,3,0.5662169456481934,0,27295,3280,26664,661,27676.498149729578,3637.5307864539604,3.5392680168151855,251863,281569472
grammatical_a3,1,5,1.7599520683288574,0,44206,19651,43575,679,47773.077640193565,18715.713965855022,3.6186752319335938,257030,19886491853720
crx,positive,2,0.0356256961822509,0,1891,355,729,261,1891.0,355.0,0.05289626121520996,3721,1892
crx,positive,3,0.0573217868804931,0,3118,505,1662,392,2926.2642276422766,740.0,0.05169248580932617,4357,37882
crx,positive,5,0.0610692501068115,0,3281,591,1818,460,3106.6853658536584,1375.6333333333334,0.07245945930480957,4439,6508884
GermanCredit_UCI_,2,2,0.0522232055664062,0,2850,803,1359,258,2850.0,860.5,0.06668257713317871,5625,2851
GermanCredit_UCI_,2,3,0.1510210037231445,0,8086,2301,4868,374,7573.863636363636,4086.6666666666665,0.08267688751220703,7032,70376
