dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
mice,t-SC-s,2,0.8876307010650635,0,45685,1105,19086,538,43239.539808917194,1000.1608280254777,0.9704241752624512,88236,49456
mice,t-SC-s,3,1.404036283493042,0,73815,1373,39045,850,75254.26207537155,2980.882696390658,1.0228264331817627,89136,5160120
mice,t-SC-s,5,1.8702726364135744,0,98081,1841,56625,1476,422373.52665207005,32984.64278131635,1.0063977241516113,89043,25038470058
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,2,0.058173656463623,0,171,171,0,0,171.0,171.0,0.04097914695739746,402,211
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,3,0.0759608745574951,0,671,671,0,0,746.0,671.0,0.04884648323059082,682,1351
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,5,0.102363109588623,0,1296,1296,0,0,1639.75,1296.0,0.05298614501953125,862,6196
grammatical_a4,1,2,2.364102363586426,0,115429,10730,84137,757,94809.17047342192,9850.177740863788,3.3479297161102295,239598,725411
grammatical_a4,1,3,82.67288422584534,0,4259373,398845,3254824,1245,2592448.0882475083,313264.6568383167,5.166033983230591,351571,290890615
NormalDist_Random-Synthetic__2_7_7283_,1,2,0.0266394615173339,0,494,479,237,175,496.5,483.0,0.03119826316833496,1091,562
NormalDist_Random-Synthetic__2_7_7283_,1,3,0.0949692726135253,0,3450,2383,1801,358,4172.583333333333,3007.5,0.035503387451171875,1973,6018
NormalDist_Random-Synthetic__2_7_7283_,1,5,0.4017558097839355,0,17265,6113,9711,537,32545.488541666666,9514.216666666667,0.04275965690612793,2547,284274
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,2,0.1285583972930908,0,4601,1988,2227,326,4601.0,2088.5,0.148606538772583,10002,5051
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,3,1.0721614360809326,0,50491,10505,23654,521,53079.5,12290.833333333334,0.2031869888305664,13738,166751
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,5,5.408093452453613,0,271261,14148,121130,604,359077.03854166664,22211.5,0.21534347534179688,14775,79375496
grammatical_b2,1,2,3.889283657073975,0,187953,11375,120482,682,155087.8570241064,9077.397339983376,5.341734409332275,380150,724207
grammatical_b2,1,3,86.49464869499207,0,4389884,228536,3044225,1141,2522386.8516209475,187734.20088667222,6.516550779342651,445633,290166408
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,2,0.1045734882354736,0,4601,1629,1984,256,4601.0,1510.5,0.1258084774017334,10002,5051
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,3,0.8511791229248047,0,50221,1629,17566,256,36605.25,1426.0,0.13834667205810547,12552,166751
ED_LVL_2_0_EqualDist_Random-Synthetic__2_10_1000_,1,5,0.8577671051025391,0,50221,1629,17566,256,37753.333333333336,1466.0,0.1396012306213379,12632,79375496
grammatical_b6,1,2,3.3084750175476074,0,157994,4654,114260,935,125527.43155258764,2346.7011686143574,4.366615295410156,310284,718202
grammatical_b6,1,3,40.5097234249115,0,2045987,76627,1587424,1672,642438.7073247079,22349.983166388425,4.957161903381348,328235,286563398
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,2,0.0129425525665283,0,236,228,117,107,248.18,227.78,0.022051095962524414,577,326
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,3,0.02937912940979,0,961,282,657,111,1285.94,1076.94,0.020067930221557617,999,2626
I_LVL2_0_Interesting_Non-Random-Synthetic__2_5_3125_,1,5,0.0369341373443603,0,1336,282,1032,111,3616.55875,951.6666666666666,0.023285627365112305,1237,68406
gesture_raw,Preparation,2,0.0905263423919677,0,2813,1321,1186,322,2813.0,968.5,0.10021066665649414,5778,2927
gesture_raw,Preparation,3,0.4509851932525635,0,20669,4026,8551,598,22309.916666666668,5532.666666666667,0.13054752349853516,7608,73227
gesture_raw,Preparation,5,3.4410388469696045,0,176201,34898,51836,1282,252112.08958333332,60918.4,0.1541750431060791,9136,19831042
monks3,0,2,0.0073273181915283,0,137,134,53,53,135.5,134.0,0.0077478885650634766,291,154
monks3,0,3,0.0162196159362792,0,546,448,218,196,595.0,526.3333333333334,0.00871729850769043,504,834
monks3,0,5,0.0340478420257568,0,1398,574,648,246,1899.9270833333333,771.6666666666666,0.010842323303222656,684,9402
I_LVL1_0_Interesting_Non-Random-Synthetic__2_2_4_,1,2,0.0036923885345458,0,1,0,0,0,1.0,0.0,0.0014595985412597656,2,11
