dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
statlog_vehicle,opel,2,0.0505003929138183,0,2453,993,639,332,2521.0,695.44,0.08310198783874512,7174,2629
statlog_vehicle,opel,3,0.1973938941955566,0,12173,1726,1386,570,11630.56,2047.6,0.10037350654602051,8403,62269
statlog_vehicle,opel,5,0.6431782245635986,0,44013,4271,3832,1046,45967.879,6172.786,0.10903263092041016,8915,15082603
pitt2_1,DECK,2,0.0066852569580078,0,192,72,39,39,182.95,72.825,0.020506620407104492,1625,277
pitt2_1,DECK,3,0.0095977783203125,0,421,118,58,58,454.92875,116.855,0.026849746704101562,2178,2048
pitt2_1,DECK,5,0.0105373859405517,0,492,125,60,60,620.7343541666667,129.435,0.0303494930267334,2326,44552
grammatical_a8,1,2,1.4700946807861328,0,86963,3735,3444,1390,129644.45,1090.15,0.43947410583496094,27592,708646
grammatical_a8,1,3,19.54272699356079,0,1250327,38687,38347,3662,316505.44583333336,5595.15,0.6696913242340088,28117,280860826
grammatical_a6,1,2,1.058473825454712,0,59196,3801,3460,1203,74307.8025,2016.85,0.5514249801635742,16198,715807
grammatical_a6,1,3,20.739320039749146,0,1264854,60692,60348,3903,550285.85,31480.725000000002,0.5889854431152344,18370,285130587
auto6_2,class5,2,0.2057356834411621,0,11612,1291,846,159,11862.375,5619.75,0.21449828147888184,15557,12091
auto6_2,class5,3,0.9672732353210448,0,59068,5377,3832,1007,77247.05833333333,11998.516666666666,0.2172257900238037,17357,620776
auto6_2,class5,5,3.3082218170166016,0,278979,5326,4396,1114,676724.4673958333,21574.32625,0.29022860527038574,23246,722277712
auto1,class1,2,0.0259201526641845,0,801,798,405,233,801.0,790.8,0.06072854995727539,3942,821
auto1,class1,3,0.2093722820281982,0,9789,7555,4135,456,9850.466666666667,8506.666666666666,0.09462189674377441,7563,10701
auto1,class1,5,1.7228214740753174,0,94363,22701,14647,956,200649.53583333333,53844.35333333333,0.14085602760314941,11234,760099
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,3.914222717285156,0,4601,4601,2297,426,4601.0,4601.0,4.102792263031006,10002,5051
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,35.62264537811279,0,124601,65070,32205,735,128351.0,65801.0,6.341036558151245,18902,166751
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,289.16918301582336,0,1181851,65070,32205,735,1181159.75,63986.0,7.330777168273926,22761,79375496
heart_cleverland,3,2,0.0201752185821533,0,787,509,290,222,801.4,358.8,0.14574551582336426,3944,904
