dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,2,25.03099632263184,0,52655,21535,24356,531,49409.666666666664,21353.82051282051,26.504414558410645,76561,77029
ND_LVL_3_3_NormalDist_Random-Synthetic__2_20_1000000_,0,3,767.2226412296295,0,2553388,367863,1100851,773,2163748.064102564,302991.76923076925,26.469346046447754,77480,10039709
parkinson_speech,0,2,0.1167323589324951,0,5210,931,2974,233,5260.9047619047615,3036.557142857143,0.3372924327850342,10817,5566
parkinson_speech,0,3,0.4280295372009277,0,20640,1087,14865,462,80183.10476190476,16538.7126984127,0.20906639099121094,15871,193026
parkinson_speech,0,5,0.9276583194732666,0,45549,1462,36322,629,704093.0087202381,86773.19468253969,0.20646023750305176,15533,101533902
grammatical_b9,1,2,7.4186625480651855,0,366264,18864,230175,517,326440.8820556024,16863.710193765797,9.648240804672241,743064,705079
grammatical_b9,1,3,145.16721200942993,0,7425900,488064,5641411,721,5430524.784400449,543780.0926705982,10.82710313796997,808117,278742024
climate,0,2,0.0707988739013671,0,3044,2684,1436,340,3043.0,2716.5,0.09653806686401367,6243,3161
climate,0,3,1.0563950538635254,0,54584,12086,30085,525,63183.666666666664,17773.666666666668,0.1374354362487793,11287,82240
climate,0,5,4.36971378326416,0,238368,12108,108325,523,315506.3229166667,19606.333333333332,0.1521472930908203,12835,24122256
isolet,14,2,79.95536518096924,0,2590699,656326,1120473,1062,2583780.668918919,811704.4414414414,20.499553680419922,1508787,2630072
auto7_3,class3,2,0.0259122848510742,0,734,712,341,230,733.5,706.0,0.07840108871459961,1523,781
auto7_3,class3,3,0.1613926887512207,0,7957,4972,3567,440,8206.083333333334,5706.333333333333,0.036705732345581055,2848,9920
auto7_3,class3,5,1.2159833908081057,0,65782,10913,28811,551,75530.54166666667,14993.325,0.04600667953491211,3646,667928
volcanoes-d3,3,2,0.0097889900207519,0,61,56,17,17,61.0,60.5,0.006413698196411133,146,79
volcanoes-d3,3,3,0.0143048763275146,0,125,88,35,35,141.25,86.16666666666667,0.007462024688720703,224,299
volcanoes-d3,3,5,0.0120635032653808,0,125,88,35,35,138.58333333333334,93.66666666666667,0.007586479187011719,226,299
Diabetic,0,2,0.0500352382659912,0,1936,1734,944,292,1955.4921875,1740.8828125,0.05416989326477051,4034,2081
Diabetic,0,3,0.4849317073822021,0,23116,9351,13164,426,30296.345703125,13992.0859375,0.09195613861083984,7171,43745
Diabetic,0,5,4.987080335617065,0,237718,46501,159278,735,554909.3802001954,152282.721484375,0.12020039558410645,9214,8303633
ar4,2,2,0.0940208435058593,0,4887,816,1819,268,4801.927927927928,778.027027027027,0.10787129402160645,10214,6217
ar4,2,3,0.3478262424468994,0,19428,3173,10542,496,18038.807807807807,3658.897897897898,0.12511181831359863,11317,228032
ar4,2,5,6.467875480651856,0,378075,55479,227522,659,283785.8269707207,71412.7951951952,0.17534565925598145,12697,134381744
auto5, class3,2,2.21768569946289,0,112112,97142,52433,819,112068.32315789473,95275.99789473684,2.453855276107788,225152,113051
