dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
saheart,1,2,0.0150246620178222,0,595,396,291,194,595.0,444.5,0.016113758087158203,1156,596
saheart,1,3,0.0494728088378906,0,2727,524,1813,244,3091.3333333333335,706.8333333333334,0.023383140563964844,1856,6580
saheart,1,5,0.0492105484008789,0,2762,532,1848,247,3580.6666666666665,661.0,0.02426433563232422,1941,331212
analcatdata_boxing2,2,2,0.0090665817260742,0,301,35,89,16,301.0,30.24,0.006976604461669922,600,326
analcatdata_boxing2,2,3,0.0091240406036376,0,301,35,89,16,301.0,36.96,0.00755000114440918,613,2626
analcatdata_boxing2,2,5,0.0088212490081787,0,301,35,89,16,301.0,36.0,0.008050680160522461,614,2626
analcatdata_lawsuit,2,2,0.0053856372833251,0,50,32,22,21,50.0,34.392857142857146,0.0035326480865478516,126,106
analcatdata_lawsuit,2,3,0.0058584213256835,0,74,44,42,32,70.78571428571429,39.107142857142854,0.0040433406829833984,176,470
analcatdata_lawsuit,2,5,0.0060415267944335,0,76,45,44,33,69.90178571428571,35.57142857142857,0.004080057144165039,176,1471
pc1_req,2,2,0.0072972774505615,0,124,103,54,49,124.0,105.78947368421052,0.005499601364135742,285,191
pc1_req,2,3,0.012080430984497,0,397,337,178,148,430.7105263157895,374.7368421052632,0.007996082305908203,493,1160
pc1_req,2,5,0.0244307518005371,0,956,763,495,236,1353.375,1097.0065789473683,0.010995626449584961,725,16664
robot1,collision,2,0.0115120410919189,0,328,202,171,139,328.0,190.625,0.011751651763916016,700,407
robot1,collision,3,0.0230333805084228,0,987,293,706,214,1177.107142857143,416.36904761904765,0.01659846305847168,1083,3683
robot1,collision,5,0.0239844322204589,0,1026,307,745,223,1402.9404761904761,471.1309523809524,0.017450809478759766,1125,122438
credit-g,1,2,0.0557315349578857,0,3083,821,1470,251,3083.0,978.9,0.07095098495483398,6240,3241
credit-g,1,3,0.1504936218261718,0,8274,2150,5032,359,9512.583333333334,4609.8,0.09481525421142578,7964,85401
credit-g,1,5,0.2845008373260498,0,11826,4178,7818,435,15931.376666666667,8281.27625,0.1000821590423584,8420,25706997
lsvt,1,2,4.169348955154419,0,285128,1325,219940,476,285128.0,1221.093023255814,9.349018573760986,940238,778129
lsvt,1,3,4.252518653869629,0,286637,1614,221449,514,287136.4134745993,1922.6899224806202,9.659846305847168,942116,323183744
lsvt,1,5,4.184683561325073,0,286838,1787,221650,516,286983.3910078783,1839.8174418604651,9.660911798477173,942039,25027252491488
acute-inflammations,2,2,0.0059201717376708,0,69,53,43,42,69.0,50.285714285714285,0.008165359497070312,154,106
acute-inflammations,2,3,0.0072200298309326,0,145,110,117,97,153.46428571428572,115.36904761904762,0.005358695983886719,244,470
acute-inflammations,2,5,0.0083897113800048,0,192,157,164,132,194.52440476190478,131.64642857142857,0.006201267242431641,290,3473
cardio10,8,2,0.0348765850067138,0,1343,199,599,290,1343.0,180.0,0.04673504829406738,3468,2347
cardio10,8,3,0.0478496551513671,0,2012,418,1264,497,2013.7916666666667,529.25,0.0569911003112793,3935,52463
cardio10,8,5,0.060291051864624,0,2553,790,1805,626,2301.90625,1276.20625,0.059761762619018555,4073,11290976
phishing,-1,2,0.1338429450988769,0,2279,740,1169,347,2279.0,835.5294117647059,0.0923154354095459,4556,2347
phishing,-1,3,0.4898371696472168,0,8776,2184,5692,577,8338.545138888889,2918.7696078431372,0.11364078521728516,5801,52463
phishing,-1,5,1.9585299491882324,0,25038,16573,18507,646,85363.76909722222,81009.24019607843,0.13816237449645996,7404,11290976
prnn_synth,1,2,0.0052473545074462,0,36,18,12,9,36.0,16.5,0.004978656768798828,64,37
prnn_synth,1,3,0.0048818588256835,0,36,18,12,9,36.0,19.5,0.002644777297973633,64,37
prnn_synth,1,5,0.0047974586486816,0,36,18,12,9,36.0,17.5,0.002293109893798828,64,37
mice,t-SC-s,2,0.6296777725219727,0,39654,508,19006,538,39654.0,510.09554140127386,0.9416987895965576,88234,49456
mice,t-SC-s,3,0.6450111865997314,0,40250,586,19602,712,39999.037414965984,751.7197452229299,0.9942452907562256,88796,5160120
