dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
led,2,2,0.0067341327667236,0,99,91,40,40,99.0,91.51,0.019873857498168945,1316,106
led,2,3,0.0119385719299316,0,353,286,136,130,364.545,293.2266666666667,0.03118109703063965,2314,470
led,2,5,0.022707462310791,0,937,525,285,221,944.0035416666667,480.00533333333334,0.040380001068115234,3002,3473
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,2,0.010948896408081,0,276,234,110,110,276.0,221.875,0.03087139129638672,2427,326
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,3,0.026710033416748,0,1311,539,270,194,1352.0833333333333,472.25,0.04700303077697754,3917,2626
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,5,0.0380244255065918,0,2201,646,326,209,2323.3177083333335,543.625,0.051473140716552734,4223,68406
auto4,class1,2,1.7152388095855713,0,74847,74297,37032,850,74879.18,74869.48,0.502906084060669,39090,75467
auto4,class1,3,153.88046002388,0,9082659,1221895,772826,1216,9520960.986666666,5409464.0200000005,0.9742159843444824,77371,9735503
Tic-Tac-ToeEndgame_UCI_,negative,2,0.013744831085205,0,352,352,151,143,352.0,352.0,0.03978705406188965,2629,379
Tic-Tac-ToeEndgame_UCI_,negative,3,0.0574831962585449,0,2590,1966,1037,337,2674.27,1966.915,0.06319546699523926,4909,3304
Tic-Tac-ToeEndgame_UCI_,negative,5,0.1932966709136963,0,12025,3119,2024,527,17636.83975,4932.30475,0.08368682861328125,6601,101584
Covertype,7,2,4.859019041061401,0,6395,3984,2178,300,6373.94,3218.24,3.49196720123291,10430,8257
Covertype,7,3,50.0438072681427,0,127627,66982,37410,1046,124464.42333333334,76174.06666666667,4.677427768707275,16539,349633
pc4,2,2,0.1524832248687744,0,6982,4063,2618,441,7315.03,4255.965,0.4073929786682129,12125,7627
pc4,2,3,2.074575424194336,0,121168,32718,26896,689,137357.6625,53597.345,0.22536563873291016,18018,310248
pc4,2,5,52.87454032897949,0,3472164,587932,559356,1569,7470215.679875,2285459.73875,0.29743528366088867,23373,225460272
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,2,409.3375551700592,0,76401,76401,38113,719,76401.0,76401.0,203.5411913394928,40302,80201
firm,1,2,0.0530462265014648,0,717,627,353,225,704.26,609.28,1.7620697021484375,3640,742
firm,1,3,0.3175125122070312,0,8271,6657,3864,544,7636.333333333333,6903.535,0.12095975875854492,6804,9178
firm,1,5,1.0224463939666748,0,39511,17438,12680,1180,297414.8642708333,170598.74383333334,0.20016860961914062,11895,584935
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,2,0.4486582279205322,0,4601,2796,1386,369,4601.0,2619.5,0.48965930938720703,10002,5051
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,3,3.210630178451538,0,76431,27038,13385,620,70951.58333333333,29747.166666666668,0.662506103515625,14999,166751
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,5,39.20398664474487,0,1184801,85734,43061,737,1470844.39375,105031.5,0.7832841873168945,18302,79375496
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,2,2.812952756881714,0,49130,21041,10730,521,46507.1,21971.2,1.5759704113006592,28269,67529
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,3,78.60778164863586,0,2331984,367825,187491,848,2077782.2666666666,330919.93333333335,2.1302478313446045,43168,8238784
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,5,962.9989969730376,0,31388995,402865,205264,842,25384809.124583334,452246.26666666666,2.2395200729370117,46415,54736036272
Stroke_Kaggle_,1,2,0.0234849452972412,0,445,394,218,154,450.975,399.25,0.06795549392700195,2934,529
Stroke_Kaggle_,1,3,0.0821788311004638,0,2986,2315,1452,330,3307.1,2494.65,0.07657766342163086,5161,5489
