dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3663771152496338,0,15637,15632,8065,578,16100.583333333334,15627.833333333334,0.08117222785949707,4669,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,4.73163914680481,0,310438,56930,36427,683,567909.875,101705.25,0.11020851135253906,7402,2369936
volcanoes-a1,4,2,0.0067377090454101,0,61,42,22,22,57.916666666666664,37.666666666666664,0.005084514617919922,134,79
volcanoes-a1,4,3,0.0083634853363037,0,121,61,41,41,105.46875,52.02777777777778,0.005115985870361328,180,299
volcanoes-a1,4,5,0.0081913471221923,0,121,61,41,41,120.09722222222223,62.72222222222222,0.00526881217956543,191,299
vert3,NO,2,0.0100061893463134,0,265,196,115,115,255.23958333333334,189.3125,0.008635997772216797,554,301
vert3,NO,3,0.0218162536621093,0,1217,320,205,178,1189.0555555555557,324.9166666666667,0.012587785720825195,880,2325
vert3,NO,5,0.0283126831054687,0,1781,344,226,190,1745.8102864583334,382.98368055555557,0.013636350631713867,926,55455
CongressionalVotingRecords_UCI_,republican,2,0.019683837890625,0,760,386,249,208,1103.8072916666667,515.0625,0.027886629104614258,2258,1177
CongressionalVotingRecords_UCI_,republican,3,0.0449256896972656,0,2404,736,661,360,3749.230034722222,1273.9166666666667,0.034037113189697266,2660,18473
CongressionalVotingRecords_UCI_,republican,5,0.1698248386383056,0,10975,1973,1972,729,27363.070399305558,6567.993402777777,0.03941965103149414,3000,1925357
pitt2_2,WOOD,2,0.006627082824707,0,161,52,27,27,153.34782608695653,55.78260869565217,0.006289482116699219,324,277
pitt2_2,WOOD,3,0.0087347030639648,0,340,77,40,40,340.75,75.97101449275362,0.0076067447662353516,430,2048
