dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
auto6_1,class8,3,8.320541381835938,0,541712,158156,141186,740,567730.35,263336.44166666665,0.34512805938720703,30083,620776
auto6_1,class8,5,73.83352756500244,0,6825619,189085,174587,773,15669377.396927083,515382.52291666664,0.4305915832519531,39074,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.289604902267456,0,4601,4601,2314,431,4601.0,4601.0,35.57155394554138,5745,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,501.3111684322357,0,124601,64957,32506,679,128851.0,60451.0,36.287761211395264,5742,166751
ozone8,1,2,0.7050271034240723,0,36173,17273,13480,611,40282.72,20972.98,1.2223427295684814,28588,41042
ozone8,1,3,16.823922157287598,0,1027519,174350,170580,1317,1668113.0916666666,455887.74,0.5287158489227295,42030,3899182
ozone8,1,5,922.8702669143676,0,62048625,6397074,6391607,2728,157065026.64537498,34433863.53266667,0.6001298427581787,46713,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0158178806304931,0,9,9,0,0,9.0,9.0,0.016375064849853516,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.014723777770996,0,9,9,0,0,9.0,9.0,0.0157926082611084,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.0147278308868408,0,9,9,0,0,9.0,9.0,0.015702486038208008,306,11
bach, C#d,2,0.0305042266845703,0,609,226,208,174,496.655,225.4,0.04714679718017578,2151,1226
bach, C#d,3,0.1055054664611816,0,4086,1315,1250,416,3183.5241666666666,1376.3666666666668,0.07281374931335449,3922,19650
bach, C#d,5,0.9109611511230468,0,51274,12981,12929,739,37156.636875000004,13620.406166666668,0.1136319637298584,6568,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,29.427500009536743,0,76401,76401,38263,642,76401.0,76401.0,16.61198902130127,40302,80201
polish_bankruptcy_1year,1,2,0.7752406597137451,0,32173,23378,13037,502,32180.355,23769.05,0.5058677196502686,25558,32897
polish_bankruptcy_1year,1,3,34.20442533493042,0,1864865,790441,705568,1226,1896347.1033333333,826956.42,0.5891032218933105,44286,2796417
coil2000,1,2,3.216864585876465,0,154186,50507,28129,903,152911.7625,56381.5,0.7737894058227539,50052,211576
coil2000,1,3,140.87848377227783,0,8150313,1444980,890180,1829,9281749.81875,2532491.95,1.0960702896118164,70158,45771376
robot2,back_col,2,0.0118410587310791,0,317,293,147,135,330.08,295.71,0.043715476989746094,2530,407
robot2,back_col,3,0.031970739364624,0,1665,669,501,182,1912.8516666666667,807.8666666666667,0.05343055725097656,4354,3683
robot2,back_col,5,0.0539791584014892,0,3409,770,620,230,4962.261125,1133.3715,0.06277871131896973,4967,122438
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.0244169235229492,0,553,553,269,208,552.95,552.95,0.05226922035217285,3437,631
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1143960952758789,0,4722,4717,2441,426,4893.941666666667,4668.483333333334,0.08957123756408691,6271,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.7876491546630859,0,53114,11646,6564,523,54267.375625,11495.145833333334,0.1249690055847168,9107,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0038909912109375,0,9,9,0,0,9.0,9.0,0.006387948989868164,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0044581890106201,0,9,9,0,0,9.0,9.0,0.005927562713623047,306,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0040397644042968,0,9,9,0,0,9.0,9.0,0.0059049129486083984,306,11
auto6_3,class1,2,0.2231733798980713,0,11864,10527,5584,516,11863.925,10364.3,0.17245078086853027,15557,12091
auto6_3,class1,3,4.580793142318726,0,406849,40452,35913,680,514354.80833333335,62580.441666666666,0.3075861930847168,28906,620776
auto6_3,class1,5,16.4843168258667,0,1604599,42845,38289,682,2390902.826302083,74656.10416666667,0.32475924491882324,30622,722277712
grammatical_b1,1,2,4.541126728057861,0,291671,15378,14524,1451,615875.37,18930.625,1.2797636985778809,107001,719401
grammatical_b1,1,3,66.7687156200409,0,4359218,166429,151555,2998,4342957.47625,259290.09,1.5364303588867188,109291,287281600
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0485012531280517,0,1163,1163,567,268,1164.25,1164.25,0.09409356117248535,4952,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.3663771152496338,0,15637,15632,8065,578,16067.083333333334,15539.916666666666,0.15008258819580078,9283,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,4.73163914680481,0,310438,56930,36427,683,533237.196875,83933.70833333333,0.20621967315673828,14608,2369936
volcanoes-a1,4,2,0.0067377090454101,0,61,42,22,22,57.77,42.03,0.017006874084472656,1014,79
volcanoes-a1,4,3,0.0083634853363037,0,121,61,41,41,111.13833333333334,59.721666666666664,0.02385401725769043,1456,299
