dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
analcatdata_boxing1,1,3,0.009112834930419922,0,309,32,106,14
analcatdata_boxing1,1,5,0.009120464324951172,0,309,32,106,14
qsar,RB,2,0.15436553955078125,0,7343,1213,2758,371
qsar,RB,3,0.547177791595459,0,27250,4517,14372,506
qsar,RB,5,6.220191240310669,0,301958,57771,195474,1134
internet,ad.,2,52.94335222244263,0,2517727,1210103,1154131,900
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.011875629425048828,0,261,185,105,104
robot4,normal,3,0.02339911460876465,0,757,249,390,204
robot4,normal,5,0.03311467170715332,0,1309,315,742,295
mw1,2,2,0.14400243759155273,0,7427,987,2669,366
mw1,2,3,0.5905754566192627,0,33911,4879,13927,724
mw1,2,5,8.277074098587036,0,514469,75755,222591,1709
polish_bankruptcy_5year,1,2,0.7589514255523682,0,32140,1436,10137,424
polish_bankruptcy_5year,1,3,2.7136940956115723,0,127973,7675,66906,706
polish_bankruptcy_5year,1,5,31.566081285476685,0,1539641,57726,1139950,1375
grammatical_b8,1,2,3.4705116748809814,0,170859,1149,134315,531
grammatical_b8,1,3,9.265422582626343,0,463023,5223,384070,660
grammatical_b8,1,5,457.7001178264618,0,24280488,822856,18283397,744
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,284.2414302825928,0,53601,21561,25838,431
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.005672931671142578,0,63,40,28,22
heart_va,3,3,0.0063588619232177734,0,115,69,48,34
heart_va,3,5,0.006811857223510742,0,133,78,55,37
volcanoes-b5,4,2,0.009389638900756836,0,61,57,20,20
volcanoes-b5,4,3,0.011300802230834961,0,125,90,37,37
volcanoes-b5,4,5,0.011718511581420898,0,125,90,37,37
wilt,w,2,0.012125253677368164,0,181,159,78,78
wilt,w,3,0.02347707748413086,0,629,356,304,202
wilt,w,5,0.032840728759765625,0,1049,398,586,257
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.10214972496032715,0,276,276,144,134
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.17279934883117676,0,1526,1311,775,253
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.36348509788513184,0,5426,2841,2822,355
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.019533157348632812,0,276,276,136,132
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.05128073692321777,0,1526,1526,782,293
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.15688633918762207,0,5911,2471,3305,417
mfeat-karhunen,8,2,0.7338602542877197,0,31317,633,13132,348
mfeat-karhunen,8,3,1.3414485454559326,0,60741,632,41426,395
mfeat-karhunen,8,5,1.7077069282531738,0,77765,632,58271,403
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0035381317138671875,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.0037860870361328125,0,7,6,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.003626108169555664,0,7,6,4,4
Iris_UCI_,Iris-virginica,2,0.005908489227294922,0,105,35,42,27
Iris_UCI_,Iris-virginica,3,0.007118701934814453,0,177,41,69,32
Iris_UCI_,Iris-virginica,5,0.007332324981689453,0,185,41,73,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.01362466812133789,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.013414382934570312,0,7,6,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.014278650283813477,0,7,6,4,4
thyroid_ann,2,2,0.05900311470031738,0,1219,674,471,235
thyroid_ann,2,3,0.2760961055755615,0,7713,2275,3281,598
thyroid_ann,2,5,3.0034685134887695,0,87107,11266,46677,1185
seeds,2,2,0.00941324234008789,0,257,121,112,70
seeds,2,3,0.018854856491088867,0,769,203,366,144
seeds,2,5,0.025182247161865234,0,1165,230,564,185
hv_no_noise,0,2,1.4189107418060303,0,79601,20201,26667,365
hv_no_noise,0,3,44.4250054359436,0,2666801,667001,704898,431
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.03431820869445801,0,1328,583,587,252
statlog_australian,1,3,0.09708452224731445,0,4597,1001,2417,456
statlog_australian,1,5,0.2513308525085449,0,12213,1783,7153,761
hiv_schilling,1,2,0.20260953903198242,0,10321,572,3159,310
hiv_schilling,1,3,0.6301140785217285,0,33681,577,9671,313
hiv_schilling,1,5,0.6185629367828369,0,33801,577,9699,313
heart-long-beach,4,2,0.01956462860107422,0,728,438,315,188
heart-long-beach,4,3,0.09300994873046875,0,4798,1427,2048,344
heart-long-beach,4,5,0.2981688976287842,0,16178,3507,6962,529
datatrieve,2,2,0.012164115905761719,0,399,137,137,86
datatrieve,2,3,0.02518296241760254,0,1115,268,363,168
datatrieve,2,5,0.034538984298706055,0,1731,348,606,238
jEdit_4.0_4.2,2,2,0.012422800064086914,0,368,264,181,139
jEdit_4.0_4.2,2,3,0.03815913200378418,0,1678,514,829,255
jEdit_4.0_4.2,2,5,0.080718994140625,0,4097,771,1882,399
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,9.08850908279419,0,276,276,143,134
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,15.70978307723999,0,1526,1209,787,286
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,30.06909203529358,0,5036,2600,2572,372
pitt1_2,WOOD,2,0.00738525390625,0,170,45,63,27
pitt1_2,WOOD,3,0.010031461715698242,0,324,60,121,35
pitt1_2,WOOD,5,0.010693550109863281,0,368,61,137,35
backache,2,2,0.0690157413482666,0,3293,1423,1531,358
backache,2,3,0.34098315238952637,0,18046,6386,9107,644
backache,2,5,3.7118217945098877,0,202020,71072,83088,1210
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,1.0096774101257324,0,44044,11129,18177,410
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,22.42337942123413,0,1134230,32289,444579,461
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,57.081385135650635,0,2958304,32298,1125697,461
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,0.9312732219696045,0,276,276,134,129
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,1.5057823657989502,0,1526,1526,766,293
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,3.3515350818634033,0,7776,4651,3909,385
thyroid_hypothyroid,hypothyroid,2,0.021867990493774414,0,507,303,189,167
thyroid_hypothyroid,hypothyroid,3,0.07011651992797852,0,2449,1155,1058,307
thyroid_hypothyroid,hypothyroid,5,0.521195650100708,0,19503,9506,11332,493
grammatical_a3,1,2,2.4688520431518555,0,122844,1801,82780,604
grammatical_a3,1,3,14.08420729637146,0,735627,13110,499908,776
grammatical_a3,1,5,546.9151494503021,0,28199086,489349,18824212,1017
crx,positive,2,0.03630328178405762,0,1483,645,633,261
crx,positive,3,0.11788702011108398,0,5518,1208,2721,482
crx,positive,5,0.2684345245361328,0,13129,1620,7779,736
GermanCredit_UCI_,2,2,0.06402587890625,0,2664,1055,1353,258
GermanCredit_UCI_,2,3,0.24764728546142578,0,11329,2618,6908,392
GermanCredit_UCI_,2,5,0.4566066265106201,0,21584,4884,14259,681
pc1,2,2,0.06245827674865723,0,2749,680,806,329
pc1,2,3,0.18868374824523926,0,9270,1802,3236,459
pc1,2,5,1.5318822860717773,0,84733,20282,28476,1349
mfeat-pixel,8,2,4.902970790863037,0,221665,5143,125100,901
mfeat-pixel,8,3,29.454748392105103,0,1362920,33099,973908,1448
mfeat-pixel,8,5,636.2977113723755,0,29740385,352388,24125069,2843
hv_noise,0,2,1.4549965858459473,0,79601,20201,26173,422
hv_noise,0,3,45.03236937522888,0,2666801,667001,802211,750
hv_noise,0,5,-1.0,1,-1,-1,-1,-1
image,WINDOW,2,0.05791020393371582,0,2134,532,835,281
image,WINDOW,3,0.16753697395324707,0,7695,969,3945,529
image,WINDOW,5,0.6197314262390137,0,30680,2352,18324,867
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,9.200612545013428,0,276,276,132,127
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,15.852772951126099,0,1526,1526,747,304
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,5,41.23102045059204,0,7776,4651,3885,432
polish_bankruptcy_4year,1,2,0.8800387382507324,0,32361,1779,12510,454
polish_bankruptcy_4year,1,3,3.5136220455169678,0,148437,7972,90852,754
polish_bankruptcy_4year,1,5,47.05446648597717,0,2099165,84726,1503505,1576
lung,3,2,0.11025238037109375,0,5896,1001,2542,235
lung,3,3,0.5487134456634521,0,31766,3561,16316,363
